spanID,startTime,durationNanos,2xx_rate,istio.namespace,http.method,istio.cluster_id,user_agent,response_size,http.status_code,istio.canonical_revision,istio.canonical_service,component,http.url,node_id,net.host.ip,guid:x-request-id,response_flags,zone,downstream_cluster,request_size,upstream_cluster.name,upstream_cluster,peer.address,istio.mesh_id,http.protocol
+etYAvCQZZY=,1723410139144929000,590000,1,sock-shop,POST,Kubernetes,Java/1.8.0_111-internal,73,200,v1,payment,proxy,http://payment/paymentAuth,sidecar~172.20.98.219~payment-d5fdf579-qnx2g.sock-shop~sock-shop.svc.cluster.local,172.20.98.219,7ab967b1-72ea-40a9-9537-5694372a5f0a,-,us-east-1c,-,354,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
gSZcA0WwJMw=,1723410096291812000,60734000,1,sock-shop,POST,Kubernetes,-,227,406,v1,orders,proxy,http://orders/orders,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,acffdfa4-cc3c-9ff5-af25-9c56cbc9b500,-,us-east-1c,-,232,inbound|80||,inbound|80||,172.20.85.44,cluster.local,HTTP/1.1
2cPtrutRmrs=,1723410096294048000,42533000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,394,200,v1,orders,proxy,http://user/customers/66b92065dade2b00013f82c8,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,026a17b2-430f-4f35-b5f4-49e9600a9f3e,-,us-east-1c,-,0,outbound|80|v1|user.sock-shop.svc.cluster.local,outbound|80|v1|user.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
Su5bt+yMZ0U=,1723410096294944000,45817000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,1021,200,v1,orders,proxy,http://carts/carts/66b92065dade2b00013f82c8/items,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,3c3c292e-daf2-4ee1-9761-5ab1dab02cfe,-,us-east-1c,-,0,outbound|80||carts.sock-shop.svc.cluster.local,outbound|80||carts.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
CZZbNP2dugc=,1723410096293307000,50717000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,301,200,v1,orders,proxy,http://user/addresses/66b92065dade2b00013f82cb,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,290e5f89-9543-4049-a327-39d4c991a473,-,us-east-1c,-,0,outbound|80|v1|user.sock-shop.svc.cluster.local,outbound|80|v1|user.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
B/3aBUusUco=,1723410096294543000,40783000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,225,200,v1,orders,proxy,http://user/cards/66b92065dade2b00013f82c9,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,f2a743d8-3262-4325-a7f7-adf7a708373f,-,us-east-1c,-,0,outbound|80|v1|user.sock-shop.svc.cluster.local,outbound|80|v1|user.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
2BZ/GZB82H4=,1723410096346554000,2499000,1,sock-shop,POST,Kubernetes,Java/1.8.0_111-internal,73,200,v1,orders,proxy,http://payment/paymentAuth,sidecar~172.20.106.211~orders-56b58b9cb9-7r4wr.sock-shop~sock-shop.svc.cluster.local,172.20.106.211,23a0571c-ce84-444a-b9f9-2912a192cd25,-,us-east-1c,-,354,outbound|80|v1|payment.sock-shop.svc.cluster.local,outbound|80|v1|payment.sock-shop.svc.cluster.local,172.20.106.211,cluster.local,HTTP/1.1
K93OJ9LVdkw=,1723410096293687000,50131000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,301,200,v1,user,proxy,http://user/addresses/66b92065dade2b00013f82cb,sidecar~172.20.102.83~user-6c87c59f45-gzlb9.sock-shop~sock-shop.svc.cluster.local,172.20.102.83,290e5f89-9543-4049-a327-39d4c991a473,-,us-east-1c,-,0,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
LkEeTajPsDc=,1723410096294304000,39831000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,394,200,v1,user,proxy,http://user/customers/66b92065dade2b00013f82c8,sidecar~172.20.102.83~user-6c87c59f45-gzlb9.sock-shop~sock-shop.svc.cluster.local,172.20.102.83,026a17b2-430f-4f35-b5f4-49e9600a9f3e,-,us-east-1c,-,0,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
QnOq0Ow/CaA=,1723410096294718000,39310000,1,sock-shop,GET,Kubernetes,Java/1.8.0_111-internal,225,200,v1,user,proxy,http://user/cards/66b92065dade2b00013f82c9,sidecar~172.20.102.83~user-6c87c59f45-gzlb9.sock-shop~sock-shop.svc.cluster.local,172.20.102.83,f2a743d8-3262-4325-a7f7-adf7a708373f,-,us-east-1c,-,0,inbound|80||,inbound|80||,172.20.106.211,cluster.local,HTTP/1.1
