sequence,label
"['1726408799796703029', '1726408799787678472', '1726408799786894115', '1726408799786754456', '1726408799727387481', '1726408799720986564', '1726408799720634157', '1726408799720093075', '1726408799711917170', '1726408799709663067']",normal
"['1726408799787678472', '1726408799786894115', '1726408799786754456', '1726408799727387481', '1726408799720986564', '1726408799720634157', '1726408799720093075', '1726408799711917170', '1726408799709663067', '1726408799709165937']",normal
"['1726408799786894115', '1726408799786754456', '1726408799727387481', '1726408799720986564', '1726408799720634157', '1726408799720093075', '1726408799711917170', '1726408799709663067', '1726408799709165937', '1726408799706664594']",normal
"['1726408799786754456', '1726408799727387481', '1726408799720986564', '1726408799720634157', '1726408799720093075', '1726408799711917170', '1726408799709663067', '1726408799709165937', '1726408799706664594', '1726408799706360811']",normal
"['1726408799727387481', '1726408799720986564', '1726408799720634157', '1726408799720093075', '1726408799711917170', '1726408799709663067', '1726408799709165937', '1726408799706664594', '1726408799706360811', '1726408799702797023']",normal
"['1726408799720986564', '1726408799720634157', '1726408799720093075', '1726408799711917170', '1726408799709663067', '1726408799709165937', '1726408799706664594', '1726408799706360811', '1726408799702797023', '1726408799702700249']",normal
"['1726408799720634157', '1726408799720093075', '1726408799711917170', '1726408799709663067', '1726408799709165937', '1726408799706664594', '1726408799706360811', '1726408799702797023', '1726408799702700249', '1726408799699841624']",normal
"['1726408799720093075', '1726408799711917170', '1726408799709663067', '1726408799709165937', '1726408799706664594', '1726408799706360811', '1726408799702797023', '1726408799702700249', '1726408799699841624', '1726408799699624345']",normal
"['1726408799711917170', '1726408799709663067', '1726408799709165937', '1726408799706664594', '1726408799706360811', '1726408799702797023', '1726408799702700249', '1726408799699841624', '1726408799699624345', '1726408799696493927']",normal
"['1726408799709663067', '1726408799709165937', '1726408799706664594', '1726408799706360811', '1726408799702797023', '1726408799702700249', '1726408799699841624', '1726408799699624345', '1726408799696493927', '1726408799695486269']",normal
"['1726408799709165937', '1726408799706664594', '1726408799706360811', '1726408799702797023', '1726408799702700249', '1726408799699841624', '1726408799699624345', '1726408799696493927', '1726408799695486269', '1726408799695273648']",normal
"['1726408799706664594', '1726408799706360811', '1726408799702797023', '1726408799702700249', '1726408799699841624', '1726408799699624345', '1726408799696493927', '1726408799695486269', '1726408799695273648', '1726408799626116151']",normal
"['1726408799706360811', '1726408799702797023', '1726408799702700249', '1726408799699841624', '1726408799699624345', '1726408799696493927', '1726408799695486269', '1726408799695273648', '1726408799626116151', '1726408799623789226']",normal
"['1726408799702797023', '1726408799702700249', '1726408799699841624', '1726408799699624345', '1726408799696493927', '1726408799695486269', '1726408799695273648', '1726408799626116151', '1726408799623789226', '1726408799609633261']",normal
"['1726408799702700249', '1726408799699841624', '1726408799699624345', '1726408799696493927', '1726408799695486269', '1726408799695273648', '1726408799626116151', '1726408799623789226', '1726408799609633261', '1726408799607946374']",normal
"['1726408799699841624', '1726408799699624345', '1726408799696493927', '1726408799695486269', '1726408799695273648', '1726408799626116151', '1726408799623789226', '1726408799609633261', '1726408799607946374', '1726408799601822235']",normal
"['1726408799699624345', '1726408799696493927', '1726408799695486269', '1726408799695273648', '1726408799626116151', '1726408799623789226', '1726408799609633261', '1726408799607946374', '1726408799601822235', '1726408799601683965']",normal
"['1726408799696493927', '1726408799695486269', '1726408799695273648', '1726408799626116151', '1726408799623789226', '1726408799609633261', '1726408799607946374', '1726408799601822235', '1726408799601683965', '1726408799601016201']",normal
"['1726408799695486269', '1726408799695273648', '1726408799626116151', '1726408799623789226', '1726408799609633261', '1726408799607946374', '1726408799601822235', '1726408799601683965', '1726408799601016201', '1726408799597217425']",normal
"['1726408799695273648', '1726408799626116151', '1726408799623789226', '1726408799609633261', '1726408799607946374', '1726408799601822235', '1726408799601683965', '1726408799601016201', '1726408799597217425', '1726408799593654506']",normal
"['1726408799626116151', '1726408799623789226', '1726408799609633261', '1726408799607946374', '1726408799601822235', '1726408799601683965', '1726408799601016201', '1726408799597217425', '1726408799593654506', '1726408799591850800']",normal
